Product, ProductType, MinPrice, MaxPrice
Mango,Langra,4000,4000
Mango,Hapus(Alphaso),1000,23000
Mango,Badami,500,2000
Pine Apple,Pine Apple,3,4500
Grapes,Annabesahai,3240,3960
Grapes,Black,2143,8400
Grapes,Green,2700,11150
Grapes,White,1875,5260
Onion,Nasik,700,1400
Onion,Red,50,1815
Onion,White,130,990
Onion,Local,100,1500
Onion,Onion,200,4000
Onion,Puna,300,1100
Onion,Telagi,300,800
Onion,Big,1200,2000
Onion,Medium,700,1000
Onion,Small,600,3500
Onion,2nd Sort,300,500
Onion,1st Sort,500,1000
Potato,(Red Nanital),700,1800
Potato,Desi,500,1500
Potato,F.A.Q.,350,1650
Potato,Jalander,400,600
Potato,Jyoti,950,2000
Potato,Badshah,1150,1500
Potato,Local,450,2200
Potato,Potato,12,3500
Garlic,Average,1400,2610
Garlic,Desi,1200,3200
Garlic,Garlic,5,5000
Chili Red,Red,1500,12000
Ginger(Dry),Dry,9000,14000
Ginger(Dry),Big/Thick,7500,7700
Bajra(Pearl Millet/Cumbu),Bold,1000,1360
Bajra(Pearl Millet/Cumbu),Deshi,875,1550
Bajra(Pearl Millet/Cumbu),Hybrid,995,2000
Bajra(Pearl Millet/Cumbu),Local,901,901
Bajra(Pearl Millet/Cumbu),Small,1400,1450
Bajra(Pearl Millet/Cumbu),PCB-138,1000,1040
Barley (Jau),Dara,1100,1760
Barley (Jau),Deshi,1272,1500
Ragi (Finger Millet),Fine,3000,3400
Ragi (Finger Millet),Local,1677,3600
Ragi (Finger Millet),Hybrid,1827,1862
Cauliflower,African Sarson,1130,1680
Cauliflower,Local,300,1600
Cauliflower,Cauliflower,200,6000
Brinjal,Round,500,2500
Brinjal,Round/Long,200,3300
Brinjal,Arkasheela Mattigulla,640,1200
Brinjal,Brinjal,150,5000
Cashewnuts,Local(Raw),13000,16300
Black pepper,Malabar,27000,34500
Black pepper,Ungrabled,34000,38000
Black pepper,Garbled,35000,38000
Turmeric,Rajapuri,6500,12000
Turmeric,Turmeric,9750,9900
Turmeric,Local,5297,7600
Turmeric,Turmeric Stick,7700,12800
Turmeric,Finger,6900,7000
Turmeric,Dry,9500,10500
Cummin Seed(Jeera),Cummin Seed(Jeera),9000,14750
Coriander(Leaves),Local,4351,10000
Coriander(Leaves),Coriander,400,2000
Methi(Leaves),Methi,1000,2000
Methi Seeds,Methiseeds,1750,7200
Arhar (Tur/Red Gram),Arhar (Whole),1912,5450
Arhar (Tur/Red Gram),Arhar Dal(Tur),3400,7500
Arhar (Tur/Red Gram),777 New Vasad Imp,2701,4133
Arhar (Tur/Red Gram),Small (Whole),3600,4000
Arhar (Tur/Red Gram),Local,3500,4311
Arhar (Tur/Red Gram),Hybrid,3422,3422
Green Peas,Green Peas,4200,5500
Green Peas,White Fozi,2350,4000
Safflower,F.A.Q. Bold,3092,3092
Safflower,Safflower,2839,3290
Lentil(Masur),Masur Dal,4000,8200
Lentil(Masur),Kala Masoor New,2980,4470
Lentil(Masur),Masoor Gola,2450,4450
Field Pea,Field Pea,1500,3800
Linseed,Linseed,3290,4800
Chikoos(Sapota),Sapota,5,2200
Papaya,Papaya,2,3300
Water Melon,Water Melon,200,1500
Guar,Gwar,900,4000
Mousambi(Sweet Lime),Mousambi,1000,5500
Tomato,Deshi,300,1025
Tomato,Local,100,1600
Tomato,Hybrid,300,1200
Tomato,Tomato,80,3000
Cluster beans,Cluster Beans,800,5000
Bitter gourd,Bitter Gourd,200,7000
Bottle gourd,Bottle Gourd,150,2600
Ashgourd,Ashgourd,1,3000
Pumpkin,Pumpkin,200,2600
Bhindi(Ladies Finger),Bhindi,2,5000
Amaranthus,Amaranthus,800,4500
Green Chilli,Green Chilly,4,6000
